Trifolium nigrescens Viv.,
Trifolium pauciflorum d'Urv.,
Trifolium pratense L.,
Trifolium resupinatum  L.,
Vicia cracca L. subsp. cracca,
Astragalus gummifer,
Astragalus longifolius,
Astragalus topalanense,
Astragalus spp.,
Coronilla sp.,
Hedysarum sp.,
Lathyrus sp.,
Lotus sp.,
Melilotus sp.,
Trifolium spp.,
Vicia sp.,
Fagaceae,4
Quercus petraea (Matt.) Liebl. subsp. pinnatiloba (K.Koch) Menitsky*,
Geraniaceae,4
Geranium tuberosum L.,
Geranium sp.,
Hypericaceae,12
Hypericum lydium Boiss.,
Hypericum perforatum L.,
Hypericum scabrum L.,
Hypericum spp.,
Ixioliriaceae,5
Ixiolirion tataricum (Pall.) Schult. & Schult.f.,
Lamiaceae,215
Ajuga chamaepitys subsp. chia (Schreb.) Arcang.,
Lamium album  L.,
Lamium garganicum L.,
Lamium macrodon Boiss. & Huet,
Marrubium astracanicum Jacq.,
Marrubium vulgare L.,
Mentha longifolia (L.) L. subsp. longifolia,
Mentha spicata L.,
Nepeta baytopii Hedge & Lamond*,
Nepeta cataria L.,
Nepeta nuda L.,
Nepeta trachonitica Post,
Origanum acutidens (Hand.-Mazz.) Ietsw*,
Origanum vulgare L. subsp. gracile (K.Koch) Iestw.,
Phlomis armeniaca Willd.,
Phlomis herba-venti subsp. pungens (Willd.) Maire ex DeFilipps (sin. Phlomis pungens Willd.),
Phlomis kurdica Rech.,
Salvia frigida Boiss.,
Salvia limbata C.A.Mey.,
Salvia macrochlamys Boiss. & Kotschy,
Salvia multicaulis Vahl,
Salvia palaestina Benth.,
Salvia sclarea L.,
Salvia staminea Montbret & Aucher ex Benth.,
Salvia trichoclada Benth,
Salvia verticillata L.,
Salvia virgata Jacq.,
Satureja hortensis L.,
Stachys annua (L) L.,
Stachys lavandulifolia Vahl,
Teucrium chamaedrys L.,
Teucrium orientale L.,
Teucrium polium L,
Thymus kotschyanus Boiss. & Hohen.,
Thymus pubescens Boiss. & Kotschy ex Celak.,
Lamium macrodon,
Lamium sp.,
Origanum sp.,
Phlomis sp.,
Teucrium sp.,
Thymus spp.,
Linaceae,4
Linum mucronatum subsp. armenum (Bordz.) P.H.Davis,
Lythraceae,23
Lythrum salicaria L.,
Malvaceae,21
Alcea apterocarpa Boiss.,
Alcea remotiflora (Boiss. & Heldr.) Alef.,
Malva neglecta Wallr.,
Malvaceae,
Alcea sp.,
Malva sp.,
Tilia sp.,
Moraceae,4
Morus alba L.,
Onagraceae,4
Epilobium parviflorum Schreb.,
Papaveraceae,16
Fumaria parviflora Lam,
Fumaria schleicheri subsp. microcarpa (Hausskn.) Lidén,
Papaver dubium L.,
Papaver orientale L.,
Plantaginaceae,44
Anarrhinum orientale Benth.,
Globularia trichosantha Fisch. & C.A.Mey,
Lagotis stolonifera Maxim.,
Linaria pyramidata Spreng.,
Plantago lanceolata L.,
Plantago major L.,
Plantago media L.,
Linaria sp.,
Plumbaginaceae,12
Acantholimon acerosum (Willd.) Boiss.,
Acantholimon armenum Boiss. & Huet.,
Acantholimon calvertii Boiss.,
Acantholimon sp.,
Poaceae,3
Poaceae,
Zea mays,
Polygonaceae,34
Polygonum cognatum Meissn.,
Rheum ribes L.,
Rumex acetosella L.,
Rumex scutatus L.,
Rumex sp.,
Primulaceae,0
Lysimachia punctata L.,
Portulacaceae,7
Portulaca sp.,
Ranunculaceae,17
Ficaria fascicularis K.Koch (sin. Ranunculus kochii Ledeb.),
Ranunculus heterorrhizus Boiss. & Balansa*,
Ranunculus kotschyi Boiss.,
Ranunculus sp.,
Rhamnaceae,4
Paliurus spina-christi P. Mill.,
Rosaceae,177
Agrimonia repens L.,
Cotoneaster nummularius Fisch. & C.A.Mey.,
Crataegus orientalis Pall. ex M.Bieb.,
Crataegus monogyna Jacq.,
Filipendula ulmaria (L.) Maxim.,
Malus sylvestris (L.) Mill.,
Potentilla anatolica Peşmen*,
Potentilla argentea L.,
Prunus divaricata Ledeb.,
subsp. ursina (Kotschy)Browicz,
Pyrus elaeagnifolia Pall.,
Rosa canina L.,
Rosa foetida J.Herrm.,
Rubus caesius L.,
Rubus sanctus Schreb.,
Sanguisorba minor L. subsp. lasiocarpa (Boiss. & Hausskn.) Nordborg,
Sorbus torminalis (L.) Crantz,
Rosaceae,
Filipendula sp.,
Potentilla sp.,
Rosa canina,
Rubiaceae,25
Galium consanguineum Boiss.,
Galium verum L.,
Galium sp.,
Rutaceae,27
Citrus sp.,
Salicaceae,
Salix alba L.,
Salix caprea L.,
Salix sp.,
Scrophulariaceae,20
Verbascum armenum Boiss. & Kotschy ex Boiss.,
Verbascum diversifolium Hochst*.,
Verbascum gimgimense Fırat*,
Verbascum lasianthum Boiss. ex Benth.,
Verbascum sinatum  L.,
Verbascum spp.,
Tamaricaceae,20
Tamarix smyrnensis Bunge,
Tamarix tetrandra Pall. ex M.Bieb.,
Xanthorrhoeaceae,
Eremurus spectabilis M.Bieb.,
Eremurus sp.,
Zygophyllaceae,
Tribulus terrestris L.,
